Queue,cutoff_fraction,Window size,Model name,Window number,Window start time,Window end time,Total jobs in window,test_accuracy_score,test_acc_lastbin_given_bin0_incorrect,test_acc_lastbin_given_bin01_incorrect,test_acc_lastbin_given_bin012_incorrect,test_acc_lastbin_given_bin0123_incorrect,future_accuracy_score,future_acc_lastbin_given_bin0_incorrect,future_acc_lastbin_given_bin01_incorrect,future_acc_lastbin_given_bin012_incorrect,future_acc_lastbin_given_bin0123_incorrect
skx-normal,0.9,6,HistGradientBoostingClassifier,0,2022-02-01 00:06:58,2022-03-03 04:05:20,35812,  0.9455476264349985,0.9499489274770173,0.9305413687436159,0.9213483146067416,0.8927477017364658,0.760748185371301,0.8772378516624041,0.8491048593350383,0.8184143222506394,0.80306905370844
skx-normal,0.9,6,HistGradientBoostingClassifier,1,2022-03-03 04:08:00,2022-04-02 08:02:26,31191,  0.9095280498664292,0.9807692307692307,0.9661538461538461,0.9392307692307692,0.9146153846153846,0.7996152613016992,0.9695431472081218,0.9644670050761421,0.9289340101522843,0.9001692047377327
skx-normal,0.9,6,HistGradientBoostingClassifier,2,2022-04-02 08:05:22,2022-05-02 12:02:18,31960,  0.9155223361724317,0.9868049010367578,0.9698397737983034,0.9557021677662583,0.9264844486333648,0.6645807259073843,0.7272727272727273,0.6545454545454545,0.5863636363636363,0.5181818181818182
skx-normal,0.9,6,HistGradientBoostingClassifier,3,2022-05-02 12:04:54,2022-06-01 15:50:05,44785,  0.9462912428677748,0.9826086956521739,0.9669565217391304,0.9582608695652174,0.9408695652173913,0.8309513175524788,0.9344059405940595,0.900990099009901,0.8675742574257426,0.8353960396039604
skx-normal,0.9,6,HistGradientBoostingClassifier,4,2022-06-01 16:12:56,2022-07-01 19:51:47,25366,  0.8858957512045554,0.9799291617473436,0.9598583234946871,0.9303423848878394,0.8878394332939787,0.609775325187229,0.8773584905660378,0.8228511530398323,0.7568134171907757,0.6802935010482181
skx-normal,0.9,6,HistGradientBoostingClassifier,5,2022-07-01 20:00:29,2022-07-31 23:58:14,24799,  0.8991935483870968,0.9873987398739874,0.9756975697569757,0.9621962196219622,0.9333933393339334,0.7991935483870968,0.7845528455284553,0.6849593495934959,0.6524390243902439,0.6199186991869918
skx-normal,0.9,6,KNeighborsRegressor,0,2022-02-01 00:06:58,2022-03-03 04:05:20,35812,  0.9343779087806392,0.928194297782471,0.9123548046462513,0.9049630411826821,0.8859556494192186,0.536571747627024,0.8398058252427184,0.7912621359223301,0.7378640776699029,0.6650485436893204
skx-normal,0.9,6,KNeighborsRegressor,1,2022-03-03 04:08:00,2022-04-02 08:02:26,31191,  0.9008014247551203,0.9876325088339223,0.9787985865724381,0.9743816254416962,0.9664310954063604,0.770759858929144,0.9764705882352941,0.9725490196078431,0.9352941176470588,0.9137254901960784
skx-normal,0.9,6,KNeighborsRegressor,2,2022-04-02 08:05:22,2022-05-02 12:02:18,31960,  0.8974448114027463,0.9852476290832455,0.9736564805057956,0.9662802950474183,0.9536354056902002,0.6392365456821026,0.5066666666666667,0.44,0.32,0.26
skx-normal,0.9,6,KNeighborsRegressor,3,2022-05-02 12:04:54,2022-06-01 15:50:05,44785,  0.9379806499627884,0.9895337773549001,0.9828734538534729,0.9800190294957184,0.972407231208373,0.739169271996427,0.9490740740740741,0.9104938271604939,0.9058641975308642,0.904320987654321
skx-normal,0.9,6,KNeighborsRegressor,4,2022-06-01 16:12:56,2022-07-01 19:51:47,25366,  0.8681559351730179,0.9858557284299858,0.983026874115983,0.9745403111739745,0.9561527581329562,0.48521876231769806,0.8663729809104258,0.8193832599118943,0.7518355359765051,0.684287812041116
skx-normal,0.9,6,KNeighborsRegressor,5,2022-07-01 20:00:29,2022-07-31 23:58:14,24799,  0.8595430107526881,0.9867211440245148,0.9775280898876404,0.9693564862104188,0.9530132788559755,0.7471774193548387,0.7788844621513944,0.6713147410358565,0.6314741035856574,0.5976095617529881
